title,OEM,OEM Number,Description,Product Availability
Wafer Arm Transfer Motor (NEW),AMAT ,1080-90047 ,AMAT MOTOR 9500 TRANSFER ARM 1080-90047,In Stock
PWBA ARC VOLTAGE CONTROL BOARD,AMAT ,0100-01884,"AMAT / APPLIED MATERIALS 0100-01884, PWBA ARC VOLTAGE CONTROL PCB BOARD",In Stock
PSU XANTREX 600V 2A BIAS SP,AMAT ,1140-00598,AMAT / APPLIED MATERIALS: 1140-00598 PSU XANTREX 600V 2A BIAS SP,In Stock
ARC PSU XANTREX 120V 10A ,AMAT ,1140-00599,AMAT / APPLIED MATERIALS ARC PSU XANTREX 120V 10A ARC SP (XHR-120-10 SP) 1140-00599,In Stock
MOTECH PSU MP80,AMAT ,0190-40545,"AMAT / APPLIED MATERIALS: 0190-40545, 230VRMS PSU/AMP UNIT MOTECH PSU MP80",In Stock
MODIFIED VACUUM PUMP,AMAT ,0015-00512,AMAT / APPLIED MATERIALS 0015-00512 MODIFIED VACUUM PUMP,In Stock
VAT Slit Valve,VAT,03112-LA24-AKV1,VAT: 03112-LA24-AKV1 RECTANGULAR INSERT MONOVAT LOADLOCK,In Stock
Hivolt 1000 Series Power Supply,Advance Hivolt,1140-90179,"ADVANCE HIVOLT: A1018860, AMAT / APPLIED MATERIALS: 1140-90179, 1140-90179",In Stock
PSU 300W 48V 6A 47-63HZ - VI MU4,AMAT ,1140-90109,PSU 300W 48V 6A 47-63HZ 1140-90109,In Stock
QUANTUM PC ,AMAT ,9090-01499,AMAT / APPLIED MATERIALS 9090-01499 QUANTUM PC RUNNING WINDOWS NT,In Stock
QUANTUM PC,AMAT ,9090-00049,AMAT / APPLIED MATERIALS: 9090-00049 QUANTUM PC RUNNING WINDOWS NT,In Stock
RESOLVER ASSY COMPACTSCAN,AMAT ,0240-61528,AMAT / APPLIED MATERIALS: 0240-61528 RESOLVER ASSY COMPACTSCAN,In Stock
DE-816TP Ethernet 16-port Hub,,DE-816TP,DE-816TP Ethernet 16-port Hub,In Stock
CTI ON BOARD 10 CRYOPUMP,CTI,8116148G004,CTI-Cryogenics 8116148G004 On-Board 10 Cryopump,In Stock
Source Magnet Power Supply,AMAT ,9090-00791,AMAT / APPLIED MATERIALS ASSEMBLY MAG PSU 9090-00791,In Stock
I/V Converter Power Supply Board,AMAT ,0100-91105,AMAT / APPLIED MATERIALS PWBA DC I TO V PSU 0100-91105,In Stock
PWBA SOL/FIL EXT INTERFACE,AMAT ,0100-91087,AMAT / APPLIED MATERIALS PWBA SOL/FIL EXT INTERFACE 0100-91087,In Stock
ASTEC PSU 48V 31.9A O/P,AMAT ,1140-90189,AMAT / APPLIED MATERIALS PSU 48V 31.9A O/P 1140-90189,In Stock
ARTESYN PSU ,AMAT ,1140-90090,"AMAT / APPLIED MATERIALS: 1140-90090, 1140-90090, ARTESYN: N1204-1XXX (MODE LEVEL 2)",In Stock
ROBOT SAFETY CONTROLLER MODULE,AMAT ,9090-00006,AMAT / APPLIED MATERIALS ROBOT SAFETY CONTROLLER MODULE 9090-00006,In Stock
Universal DAQ Module,AMAT ,0660-00600,AMAT / Applied Materials Universal DAQ Module 0660-00633,In Stock
Turbotronik NT20 Turbo Pump Controller,Leybold,3620-99014,AMAT / APPLIED MATERIALS: 3620-99014,In Stock
CENTRECOM MX10S AUI-BNC,AMAT ,0720-00407,"AMAT / APPLIED MATERIALS: 0720-00407, ALLIED TELESYN: 0720-00407, CONN ETHERNET TRANS AUI-BNC / CENTRECOM MX10S AUI-BNC",In Stock
TURBO DRIVE TD20 CONTROLLER,Leybold,800075V0005,LEYBOLD TURBO DRIVE TD20 CONTROLLER 100-240VAC 50/60 HZ 490VA 330W,In Stock
Power Supply Tetrode,AMAT ,1140-90164,"ADVANCE HIVOLT: 1140-90164, AMAT / APPLIED MATERIALS: 1140-90164, 1140-90164",In Stock
QUAD ROTATE CONTROLLER,AMAT ,0090-01676,AMAT / APPLIED MATERIALS 0090-01676 - AIT QUAD CONTROLLER,In Stock
THERMISTOR GAUGE CONTROLLER,AMAT ,0100-40077,AMAT / APPLIED MATERIALS THERMISTOR GAUGE CONTROLLER 0100-40077,In Stock
G2 SERIES PROTECTION RESISTOR,AMAT ,9090-00659,AMAT / APPLIED MATERIALS G2 SERIES PROTECTION RESISTOR 9090-00659,In Stock
MFC 5SCCM AR VCR 1/4 AUTO SHUT OFF,AMAT ,3030-16620,AMAT / Applied Materials MFC 5SCCM AR VCR 1/4 AUTO SHUT OFF 3030-16620,In Stock
ELMO MOTION CONTROL SBA-10/100H,AMAT ,SBA-10/100H,AMAT / APPLIED MATERIALS ELMO MOTION CONTROL SBA-10/100H SERVO AMPLIFIER ,In Stock
MFC 5SCCM AR VCR 1/4 AUTO SHUT OFF,AMAT ,3030-18908,AMAT / APPLIED MATERIALS MFC 5SCCM AR VCR 1/4 AUTO SHUT OFF,In Stock
ARC VOLTAGE CONTROL BOARD,AMAT ,0100-90930,AMAT / APPLIED MATERIALS ARC VOLTAGE CONTROL BOARD 0100-90930,In Stock
